#L. nm	Avg. J	Min. J	Max. J	Std. Dev.. %
210.0	1.183	0.9217	1.423	6.897
215.0	1.280	0.05859	1.433	5.147
220.0	1.428	0.1909	1.564	3.928
225.0	1.491	0.1064	1.656	4.066
230.0	1.575	0.06615	1.736	4.038
235.0	1.624	0.06867	1.793	4.499
236.0	1.610	0.06386	1.766	4.405
237.0	1.592	1.303	1.757	3.635
242.0	1.654	0.1561	1.806	3.811
247.0	1.635	0.08927	1.797	4.288
252.0	1.602	0.06455	1.812	4.915
257.0	1.665	0.1014	1.834	4.191
262.0	1.697	0.06340	1.918	6.143
267.0	1.739	0.06867	1.945	4.922
272.0	1.691	0.05814	1.918	11.95
277.0	1.694	0.06844	1.907	5.053
282.0	1.530	0.05768	1.824	22.38
287.0	1.615	0.07599	1.857	5.074
292.0	1.588	0.08606	1.889	5.670
295.0	1.552	0.1110	1.820	5.594
296.0	0.8523	0.5409	1.107	9.002
301.0	1.255	0.07301	1.611	9.080
306.0	1.416	0.1023	1.841	7.893
311.0	1.433	0.6086	1.761	7.351
316.0	1.381	0.09224	1.731	7.712
321.0	1.493	0.05928	1.881	11.51
326.0	1.625	0.06180	2.017	8.738
331.0	1.612	0.06203	2.038	9.016
336.0	1.607	0.1675	2.105	8.032
341.0	1.642	0.1568	2.074	8.137
346.0	1.559	0.1195	1.992	8.340
351.0	1.498	0.2696	1.957	8.266
356.0	1.428	0.2149	1.884	7.775
361.0	1.325	0.09133	1.780	8.873
366.0	1.347	0.1186	1.742	9.045
371.0	1.189	0.1302	1.648	9.637
376.0	1.128	0.1156	1.621	10.30
381.0	1.110	0.08652	1.584	10.50
386.0	1.008	0.07462	1.516	11.17
391.0	0.9740	0.08812	1.483	11.38
396.0	0.9124	0.09682	1.347	12.26
401.0	0.7852	0.07279	1.301	13.50
404.0	0.7339	0.07736	1.331	14.18
