LED Item ,M365L2-C1,,,M365LP1-C1,,,M385L2-C1,,,M385LP1-C1,,,M405L3-C1,,,M405LP1-C1,,,M455L3-C1,,,M470L3-C1,,,M505L3-C1,,,M530L3-C1,,,M590L3-C1,,,M617L3-C1,,,M625L3-C1,,,M660L4-C1,,,M730L4-C1,,,M780L3-C1,,,M810L3-C1,,,M850L3-C1,,,M940L3-C1,,,MCWHL5-C1,
Approximate Total Beam Power with Collimation Adapter for Olympus BX and IX Microscopes (mW),120,,,505,,,170,,,795,,,665,,,750,,,500,,,350,,,210,,,170,,,80,,,320,,,380,,,590,,,240,,,210,,,245,,,480,,,430,,,440,
Scaling Constant,1.23E+01,,,3.76E+01,,,1.35E+01,,,5.92E+01,,,2.90E+01,,,4.58E+01,,,2.08E+01,,,1.66E+01,,,5.49E+00,,,4.09E+00,,,5.38E+00,,,1.74E+01,,,1.98E+01,,,2.31E+01,,,5.82E+00,,,5.61E+00,,,6.73E+00,,,1.39E+01,,,5.87E+00,,,8.26E+00,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,319.06123,3.78E-03,,199.9754608,-3.61E-02,,319.06123,4.70E-04,,199.9754608,0.00E+00,,200.03757,0.00E+00,,199.9754608,0.00E+00,,320.14818,2.38E-04,,194.11,3.27E-02,,319.06123,4.62E-03,,194.11,3.16E-03,,194.11,5.83E-03,,320.14818,2.10E-04,,320.14818,0.00E+00,,199.97546,0.00E+00,,199.9754608,0.00E+00,,498.5586,8.69E-03,,199.9754608,0.00E+00,,497.05385,9.28E-05,,498.5586,2.32E-02,,199.97546,0.00E+00
,319.17559,0.00E+00,,200.1769173,-1.91E-02,,319.17559,0.00E+00,,200.1769173,0.00E+00,,200.24029,0.00E+00,,200.1769173,0.00E+00,,320.25686,2.34E-04,,194.31,-5.51E-02,,319.17559,1.20E-02,,194.31,-2.39E-03,,194.31,-5.01E-03,,320.25686,1.98E-04,,320.25686,0.00E+00,,200.17692,0.00E+00,,200.1769173,0.00E+00,,498.71213,1.14E-02,,200.1769173,0.00E+00,,497.20874,4.17E-04,,498.71213,2.33E-02,,200.17692,0.00E+00
,319.28994,2.22E-03,,200.3783926,3.73E-03,,319.28994,0.00E+00,,200.3783926,0.00E+00,,200.44301,0.00E+00,,200.3783926,0.00E+00,,320.36556,2.09E-04,,194.52,2.52E-03,,319.28994,6.31E-03,,194.52,1.71E-03,,194.52,3.56E-03,,320.36556,1.86E-04,,320.36556,0.00E+00,,200.37839,0.00E+00,,200.3783926,0.00E+00,,498.86566,9.76E-03,,200.3783926,0.00E+00,,497.36365,0.00E+00,,498.86566,2.20E-02,,200.37839,0.00E+00
,319.40428,2.18E-03,,200.5798867,-4.95E-03,,319.40428,1.17E-02,,200.5798867,0.00E+00,,200.64576,0.00E+00,,200.5798867,0.00E+00,,320.47425,1.86E-04,,194.72,-9.80E-03,,319.40428,4.18E-03,,194.72,-3.05E-03,,194.72,-3.61E-03,,320.47425,1.92E-04,,320.47425,0.00E+00,,200.57989,0.00E+00,,200.5798867,0.00E+00,,499.0192,1.10E-02,,200.5798867,0.00E+00,,497.51856,0.00E+00,,499.0192,2.33E-02,,200.57989,0.00E+00
,319.51863,6.89E-03,,200.7813996,3.16E-02,,319.51863,0.00E+00,,200.7813996,0.00E+00,,200.84852,0.00E+00,,200.7813996,0.00E+00,,320.58296,1.73E-04,,194.92,5.07E-02,,319.51863,2.28E-03,,194.92,-5.39E-04,,194.92,-4.84E-03,,320.58296,1.64E-04,,320.58296,0.00E+00,,200.7814,0.00E+00,,200.7813996,0.00E+00,,499.17275,1.04E-02,,200.7813996,0.00E+00,,497.67348,0.00E+00,,499.17275,2.24E-02,,200.7814,0.00E+00
,319.63297,1.96E-03,,200.9829313,6.62E-03,,319.63297,5.16E-03,,200.9829313,0.00E+00,,201.0513,0.00E+00,,200.9829313,0.00E+00,,320.69167,1.65E-04,,195.12,2.21E-02,,319.63297,8.56E-03,,195.12,1.21E-04,,195.12,3.56E-03,,320.69167,1.41E-04,,320.69167,0.00E+00,,200.98293,0.00E+00,,200.9829313,0.00E+00,,499.32631,3.94E-03,,200.9829313,0.00E+00,,497.82841,4.17E-04,,499.32631,2.33E-02,,200.98293,0.00E+00
,319.7473,0.00E+00,,201.1844818,2.03E-02,,319.7473,0.00E+00,,201.1844818,0.00E+00,,201.2541,0.00E+00,,201.1844818,0.00E+00,,320.80039,1.83E-04,,195.33,9.24E-03,,319.7473,5.71E-04,,195.33,2.76E-03,,195.33,-3.09E-03,,320.80039,1.25E-04,,320.80039,0.00E+00,,201.18448,0.00E+00,,201.1844818,0.00E+00,,499.47988,7.51E-03,,201.1844818,0.00E+00,,497.98334,0.00E+00,,499.47988,2.20E-02,,201.18448,0.00E+00
,319.86163,0.00E+00,,201.3860511,-2.42E-02,,319.86163,4.46E-03,,201.3860511,0.00E+00,,201.45692,0.00E+00,,201.3860511,0.00E+00,,320.90911,1.67E-04,,195.53,-3.55E-02,,319.86163,2.93E-03,,195.53,-6.35E-03,,195.53,-6.24E-03,,320.90911,1.36E-04,,320.90911,0.00E+00,,201.38605,0.00E+00,,201.3860511,0.00E+00,,499.63346,7.29E-03,,201.3860511,0.00E+00,,498.13829,4.17E-04,,499.63346,2.30E-02,,201.38605,0.00E+00
,319.97596,2.89E-03,,201.5876391,3.24E-02,,319.97596,0.00E+00,,201.5876391,0.00E+00,,201.65975,0.00E+00,,201.5876391,0.00E+00,,321.01784,1.76E-04,,195.73,-8.68E-03,,319.97596,5.24E-03,,195.73,-4.76E-03,,195.73,7.75E-03,,321.01784,1.33E-04,,321.01784,0.00E+00,,201.58764,0.00E+00,,201.5876391,0.00E+00,,499.78705,1.24E-02,,201.5876391,0.00E+00,,498.29324,0.00E+00,,499.78705,2.20E-02,,201.58764,0.00E+00
,320.09028,0.00E+00,,201.7892459,-1.73E-02,,320.09028,0.00E+00,,201.7892459,0.00E+00,,201.8626,0.00E+00,,201.7892459,0.00E+00,,321.12658,1.65E-04,,195.93,1.15E-02,,320.09028,8.39E-03,,195.93,-2.75E-04,,195.93,-1.46E-02,,321.12658,1.29E-04,,321.12658,0.00E+00,,201.78925,0.00E+00,,201.7892459,0.00E+00,,499.94065,1.04E-02,,201.7892459,0.00E+00,,498.44819,1.39E-04,,499.94065,2.32E-02,,201.78925,0.00E+00
